NationalDatabaseNumber,Species,Region,Country,City-fromstrandingstable,County,State,BodyofWater,LocalityDetail,Latitude,ConversionLAT,LatitudeUnits,LatitudeActualEstimate,Longitude,ConversionLONG,LongitudeUnits,LongitudeActualEstimate,Howlatlongdetermined,ObservationDate,SickFlag,InjuredFlag,OutofHabitatFlag,DeemedHealthyReleasableFlag,AbandonedOrphanedFlag,InaccesibleFlag,LocationHazardoustoAnimal,LocationHazardousPublic,UnknownCBDFlag,ConditionOtherFlag,ConditionOtherDescription,EntangledFlag,Sex,AgeClass
NE-2007-1072209,grypus,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,Cape Henlopen State Park,,,decimal degrees,,,,decimal degrees,,,2007-MAY-01,N,N,N,Y,N,N,N,N,N,N,,,UNKNOWN,PUP/CALF
NE-2007-1072211,truncatus,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,1 mile south of Fenwick Island State Park,38.46968,38.46968,decimal degrees,actual,-75.0496166,-75.0496166,decimal degrees,actual,GPS,2007-JUN-10,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2007-1072213,truncatus,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,Fenwick Island State Park,38.477066,38.477066,decimal degrees,actual,-75.050233,-75.050233,decimal degrees,actual,GPS,2007-JUN-14,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2007-1072215,truncatus,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,,38.45942,38.45942,decimal degrees,actual,-75.04928,-75.04928,decimal degrees,actual,GPS,2007-AUG-01,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2007-1071719,vitulina,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,4th Street north and the beach,39.408715,39.408715,decimal degrees,estimate,-74.359703,-74.359703,decimal degrees,estimate,Internet,2007-OCT-15,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2007-1071721,truncatus,NE,United States,Pt. Pleasant Beach,Ocean,NJ,Atlantic Ocean,"Ocean Ave.and the beach, between Philadelphia Ave and Washington Ave",40.085703,40.085703,decimal degrees,estimate,-74.037795,-74.037795,decimal degrees,estimate,Internet,2007-NOV-03,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2007-1072201,groenlandica,NE,United States,Milton,Sussex,DE,Delaware Bay,Fowlers Beach; 150 meters north of road.,38 52.90,38.88167,decimal degrees,actual,075 16.23,-75.2705,decimal degrees,actual,GPS,2007-APR-25,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,YEARLING
NE-2004-1054345,truncatus,NE,United States,Dewey,Sussex,DE,Atlantic Ocean,north of indian river inlet on the beach at tide line,38 38.677,38.64461667,decimal minutes,actual,075 03.923,-75.06538333,decimal minutes,actual,GPS,2004-MAY-30,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2007-1071873,vitulina,NE,United States,Avalon,Cape May,NJ,Atlantic Ocean,37th Street and the beach,39.088334,39.088334,decimal degrees,estimate,74.722142,-74.722142,decimal degrees,estimate,Internet,2007-NOV-17,N,Y,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2007-1072043,vitulina,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,"North end beach, approx. 1 mile north of 14th Street North beach access road",39.426417,39.426417,decimal degrees,estimate,74.342414,-74.342414,decimal degrees,estimate,Internet,2007-NOV-21,N,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031739,groenlandica,NE,United States,Old Bridge,Monmouth,NJ,Atlantic Ocean,Lawrence Harbor,40278.59,40.45238611,deg/min/sec,actual,74140.94,-74.23359444,deg/min/sec,actual,,2004-MAR-14,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2008-1078771,delphis,NE,United States,Dover,Kent,DE,Delaware Bay,Kitts Hummock,39.103,39.103,decimal degrees,estimate,-75.402,-75.402,decimal degrees,estimate,Internet,2008-FEB-28,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1031772,groenlandica,NE,United States,Long Branch,Monmouth,NJ,Atlantic Ocean,Cedar Ave. beach,401655.3,40.28202778,deg/min/sec,actual,735853.1,-73.98141667,deg/min/sec,actual,,2004-MAR-15,Y,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1031779,delphis,NE,United States,Ortley Beach,Ocean,NJ,Atlantic Ocean,2nd Ave beach,395731,39.95861111,deg/min/sec,actual,740403.3,-74.06758333,deg/min/sec,actual,,2004-MAR-18,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1031780,phocoena,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,10th Street beach,391627.4,39.27427778,deg/min/sec,actual,743424.3,-74.57341667,deg/min/sec,actual,,2004-MAR-19,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1031781,groenlandica,NE,United States,Long Branch,Monmouth,NJ,Atlantic Ocean,picked up at 128 Ocean Ave.,401818.2,40.30505556,deg/min/sec,actual,735835.2,-73.97644444,deg/min/sec,actual,,2004-MAR-20,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031783,grypus,NE,United States,Belmar,Monmouth,NJ,Atlantic Ocean,1st Ave. Beach,401111.6,40.18655556,deg/min/sec,actual,740031.5,-74.00875,deg/min/sec,actual,,2004-MAR-21,Y,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1031785,groenlandica,NE,United States,Bayville,Ocean,NJ,Atlantic Ocean,"Shorewood Road, beach",395557.5,39.93263889,deg/min/sec,actual,740855.7,-74.14880556,deg/min/sec,actual,,2004-MAR-21,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031787,delphis,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,58th street and the beach,391313.1,39.22030556,deg/min/sec,actual,743912.4,-74.65344444,deg/min/sec,actual,,2004-MAR-21,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1031788,vitulina,NE,United States,Waretown,Ocean,NJ,Atlantic Ocean,End of Bay Parkway on bay beach,394820.2,39.80561111,deg/min/sec,actual,741017,-74.17138889,deg/min/sec,actual,,2004-MAR-21,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031790,grypus,NE,United States,Cape May City,Cape May,NJ,Atlantic Ocean,Cape May Point State Park,385554.8,38.93188889,deg/min/sec,actual,745757,-74.96583333,deg/min/sec,actual,,2004-MAR-23,N,Y,N,N,N,N,N,N,N,N,,,MALE,SUBADULT
NE-2004-1031791,vitulina,NE,United States,Seaside Heights,Ocean,NJ,Atlantic Ocean,Kearney Ave beach,395645,39.94583333,deg/min/sec,actual,740407.8,-74.06883333,deg/min/sec,actual,,2004-MAR-25,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031798,grypus,NE,United States,Wildwood Crest,Cape May,NJ,Atlantic Ocean,,385736.5,38.96013889,deg/min/sec,actual,745037.4,-74.84372222,deg/min/sec,actual,,2004-MAR-28,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031801,groenlandica,NE,United States,Sandy Hook,Monmouth,NJ,Atlantic Ocean,"Sandy Hook Wildlife Refuge, across from parking lot D on the Bay side",402428.8,40.408,deg/min/sec,actual,735836.6,-73.97683333,deg/min/sec,actual,,2004-MAR-29,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1031803,phocoena,NE,United States,Island Beach State Park,Ocean,NJ,Atlantic Ocean,Picked up at Ranger Station.,39546.8,39.90188889,deg/min/sec,actual,-740453.6,-74.08155556,deg/min/sec,actual,,2004-MAR-29,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1031804,vitulina,NE,United States,Long Beach Island,Ocean,NJ,Atlantic Ocean,Dunes on 125th Street and Ryerson Ave.,393514.4,39.58733333,deg/min/sec,actual,741302.6,-74.21738889,deg/min/sec,actual,,2004-MAR-31,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031806,groenlandica,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,10th Street beach,392743.5,39.46208333,deg/min/sec,actual,745732.1,-74.95891667,deg/min/sec,actual,,2004-MAR-14,N,N,N,Y,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031636,groenlandica,NE,United States,Sea Bright,Monmouth,NJ,Atlantic Ocean,"Across from 260 Ocean Avenue, on the beach by the snow fence.",402133.1,40.35919444,deg/min/sec,actual,735816,-73.97111111,deg/min/sec,actual,,2004-FEB-09,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031638,groenlandica,NE,United States,Beach Haven,Ocean,NJ,Atlantic Ocean,Nelson Ave. and the beach,393250.7,39.54741667,deg/min/sec,actual,741458.2,-74.2495,deg/min/sec,actual,,2004-FEB-10,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031640,vitulina,NE,United States,Seaside Heights,Ocean,NJ,Atlantic Ocean,"Sumner Ave, on the beach near the water",395627.3,39.94091667,deg/min/sec,actual,740411.2,-74.06977778,deg/min/sec,actual,,2004-FEB-10,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031642,vitulina,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,Seaside Road and the Beach,392247.8,39.37994444,deg/min/sec,actual,74241,-74.40027778,deg/min/sec,actual,,2004-FEB-11,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031643,groenlandica,NE,United States,Manasquan,Monmouth,NJ,Atlantic Ocean,Riverside Drive and Brielle Road,400635.3,40.10980556,deg/min/sec,actual,74020.2,-74.03338889,deg/min/sec,actual,,2004-FEB-11,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031645,groenlandica,NE,United States,Sandy Hook,Monmouth,NJ,Atlantic Ocean,North beach ranger station,402824.9,40.47358333,deg/min/sec,actual,740030.7,-74.00852778,deg/min/sec,actual,,2004-FEB-13,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031647,cristata,NE,United States,Island Beach State Park,Ocean,NJ,Atlantic Ocean,Beach Access #A-17,394751.2,39.79755556,deg/min/sec,actual,740528.8,-74.09133333,deg/min/sec,actual,,2004-FEB-14,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031649,groenlandica,NE,United States,Stone Harbor,Cape May,NJ,Atlantic Ocean,116th Street beach,3902.36,39.03933333,decimal minutes,actual,7445.96,-74.766,decimal minutes,actual,,2004-FEB-14,N,N,N,Y,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031651,delphis,NE,United States,Sea Bright,Monmouth,NJ,Atlantic Ocean,Across from 154 Ocean Ave,402131.5,40.35875,deg/min/sec,actual,735815.9,-73.97108333,deg/min/sec,actual,,2004-FEB-17,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2004-1031652,grypus,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,"Corsons Inlet, 1 mile south of 59th St. entrance.",391246.9,39.21302778,deg/min/sec,actual,743849.6,-74.64711111,deg/min/sec,actual,,2004-FEB-20,Y,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1031653,vitulina,NE,United States,Bradley Beach,Monmouth,NJ,Atlantic Ocean,Lorraine Ave. beach,40128.6,40.20238889,deg/min/sec,actual,740019.9,-74.00552778,deg/min/sec,actual,,2004-FEB-21,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031819,grypus,NE,United States,Sea Isle City,Cape May,NJ,Atlantic Ocean,67th Street beach,391371.5,39.23652778,deg/min/sec,actual,747020.9,-75.17247222,deg/min/sec,actual,,2004-APR-06,N,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031822,groenlandica,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,45th Street beach,391412,39.23666667,deg/min/sec,actual,743721.1,-74.62252778,deg/min/sec,actual,,2004-APR-07,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1031823,grypus,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,14th Street South beach.,392359,39.39972222,deg/min/sec,actual,742214.2,-74.37061111,deg/min/sec,actual,,2004-APR-07,N,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2008-1078773,vitulina,NE,United States,Lewes,Sussex,DE,Delaware Bay,DE Bay Pilot boat dock Texas avenue,38.62183,38.62183,decimal degrees,actual,75.093,-75.093,decimal degrees,actual,GPS,2008-MAR-08,N,N,N,Y,N,N,N,N,N,N,,,UNKNOWN,SUBADULT
NE-2004-1031655,physalus,NE,United States,Jersey City,Hudson,NJ,Atlantic Ocean,Army Corps of Engineers Pier,404103.7,40.68436111,deg/min/sec,actual,740416,-74.07111111,deg/min/sec,actual,,2004-FEB-27,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1031656,groenlandica,NE,United States,Cape May City,Cape May,NJ,Atlantic Ocean,500 yards north of Philadelphia Ave,385555.5,38.93208333,deg/min/sec,actual,745422.1,-74.90613889,deg/min/sec,actual,,2004-FEB-22,N,N,N,Y,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031692,groenlandica,NE,United States,Point Pleasant Beach,Ocean,NJ,Atlantic Ocean,"Central Ave beach, next to Martells restaurant",400538.4,40.094,deg/min/sec,actual,740208.7,-74.03575,deg/min/sec,actual,,2004-MAR-01,N,N,N,N,N,N,N,N,N,N,,,FEMALE,SUBADULT
NE-2004-1031729,vitulina,NE,United States,Spring Lake,Monmouth,NJ,Atlantic Ocean,Ludlow Ave and the beach,40.16007,40.16007,decimal degrees,actual,-74.01878,-74.01878,decimal degrees,actual,,2004-MAR-07,N,Y,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1031738,groenlandica,NE,United States,Long Beach Island Holgate,Ocean,NJ,Atlantic Ocean,"Southern tip of Long Beach Island, Holgate lot",39.53933,39.53933,decimal degrees,actual,-74.2568,-74.2568,decimal degrees,actual,,2004-MAR-13,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2002-1032662,vitulina,NE,United States,AVON-BY-THE-SEA,Monmouth,NJ,Atlantic Ocean,WASHINGTON AVE AND THE BEACH,4011.3,40.18833,decimal degrees,,-7400.53,-74.00883,decimal degrees,,,2002-APR-15,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2002-1032663,,NE,United States,KEYPORT,Monmouth,NJ,Atlantic Ocean,"ON A BOAT RAMP, CORNER OF BROAD AND 1ST STREETS",4026.33,40.43883,decimal degrees,,-7412.12,-74.202,decimal degrees,,,2002-APR-13,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2002-1032664,groenlandica,NE,United States,SEA ISLE CITY,Cape May,NJ,Atlantic Ocean,57TH STREET AND THE BEACH,3909.07,39.15117,decimal degrees,,-7442.45,-74.7075,decimal degrees,,,2002-APR-02,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1032671,cristata,NE,United States,SEA WARREN,Middlesex,NJ,Atlantic Ocean,111 STATE STREET WOODBRIDGE TOWNSHIP,4032.38,40.53967,decimal degrees,,-7415.72,-74.262,decimal degrees,,,2002-APR-15,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,YEARLING
NE-2002-1032684,grypus,NE,United States,SEASIDE PARK,Ocean,NJ,Atlantic Ocean,GRANT AVE UNDER CASINO PIER,3956.51,39.94183,decimal degrees,,-7404.09,-74.06817,decimal degrees,,,2002-MAR-30,N,N,N,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2002-1032685,vitulina,NE,United States,S MANTALOKING B,Ocean,NJ,Atlantic Ocean,CORNER OF SUNSET LN AND BOWLINE AVE ON THE BEACH,400127,40.02416667,deg/min/sec,,-740312,-74.05333333,deg/min/sec,,,2002-FEB-12,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2002-1032686,grypus,NE,United States,BARNEGAT LIGHT,Ocean,NJ,Atlantic Ocean,13TH STREET AND THE BEACH,394506,39.75166667,deg/min/sec,,-740613,-74.10361111,deg/min/sec,,,2002-MAR-08,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2002-1032696,vitulina,NE,United States,ISL. BCH ST PRK,Ocean,NJ,Atlantic Ocean,"ISLAND BEACH STATE PARK, SEASIDE PARK, 2 MI FROM GATE, OCEANSIDE",395233,39.87583333,deg/min/sec,,-740458,-74.08277778,deg/min/sec,,,2002-FEB-02,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1032697,phocoena,NE,United States,SANDY HOOK,Monmouth,NJ,Atlantic Ocean,NOTHERNMOST BEACH NEAR COAST GUARD STATION,402813,40.47027778,deg/min/sec,,-740058,-74.01611111,deg/min/sec,,,2002-FEB-15,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2002-1032698,vitulina,NE,United States,LONG BRANCH,Monmouth,NJ,Atlantic Ocean,"CORNER OF OCEAN AVE AND PAVILLION AVE, ON THE BEACH",401751,40.2975,deg/min/sec,,-735841,-73.97805556,deg/min/sec,,,2002-FEB-21,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1032699,vitulina,NE,United States,SANDY HOOK,Monmouth,NJ,Atlantic Ocean,"WINDSURFER""S BEACH AND THE BAY",402652,40.44777778,deg/min/sec,,-735944,-73.99555556,deg/min/sec,,,2002-FEB-25,N,N,N,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2002-1032700,phocoena,NE,United States,BEACH HAVEN,Ocean,NJ,Atlantic Ocean,PEARL STREET AND THE BEACH,393332,39.55888889,deg/min/sec,,-741416,-74.23777778,deg/min/sec,,,2002-FEB-26,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2002-1032378,groenlandica,NE,United States,OCEAN CITY,Cape May,NJ,Atlantic Ocean,"CORSON""S INLET STATE PARK, EAST SIDE OF BOAT RAMP.",391257,39.21583333,deg/min/sec,,-743848,-74.64666667,deg/min/sec,,,2002-JAN-24,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2001-1032573,delphis,NE,United States,MILTON,Sussex,DE,Atlantic Ocean,DELAWARE BAY; BROADKILL BEACH; BEACH PLUM ISLAND,3848.07,38.80117,decimal degrees,,-7510.9,-75.16817,decimal degrees,,,2001-DEC-26,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2001-1032411,physalus,NE,United States,,Bayonne,NJ,New York Harbor,FOUND FLOATING IN NEW YORK HARBOR BY BAYONNE MILITARY OCEAN TERMINAL.,40.6629,40.6629,decimal degrees,,-74.08478,-74.08478,decimal degrees,,,2001-JAN-03,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2001-1032560,delphis,NE,United States,WILDWOOD CREST,Cape May,NJ,Atlantic Ocean,RAMBLER ROAD AND THE BEACH.,385806,38.96833333,deg/min/sec,,745002,-74.83388889,deg/min/sec,,,2001-DEC-24,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1032059,groenlandica,NE,United States,Sandy Hook,Monmouth,NJ,Atlantic Ocean,"Northwest of first ranger station, on bay side.",402645.8,40.44605556,deg/min/sec,actual,735934.9,-73.99302778,deg/min/sec,actual,,2004-APR-08,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1032060,delphis,NE,United States,Cape May State Park,Cape May,NJ,Atlantic Ocean,Alexander Ave North,385625.5,38.94041667,deg/min/sec,actual,745819.6,-74.97211111,deg/min/sec,actual,,2004-APR-09,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2004-1032062,phocoena,NE,United States,Long Branch,Monmouth,NJ,Atlantic Ocean,Morris Ave Beach,401751.5,40.29763889,deg/min/sec,actual,735839.1,-73.97752778,deg/min/sec,actual,,2004-APR-13,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2004-1032063,vitulina,NE,United States,Waretown,Ocean,NJ,Atlantic Ocean,"In Barnegat Bay, off of Macs Marina, caught in a flyke net in the water",394714.9,39.78747222,deg/min/sec,actual,741041.6,-74.17822222,deg/min/sec,actual,,2004-APR-16,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1032092,delphis,NE,United States,Sea Isle City,Cape May,NJ,Atlantic Ocean,37th Street and the beach.,390928.8,39.158,deg/min/sec,actual,744115,-74.6875,deg/min/sec,actual,Other,2004-AUG-28,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2002-1033213,groenlandica,NE,United States,ASBURY PARK,Monmouth,NJ,Atlantic Ocean,1400 BLOCK OF OCEAN AVE. AND THE BEACH,4012.93,40.2155,decimal degrees,,7400.3,-74.005,decimal degrees,,,2002-MAR-05,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1033214,groenlandica,NE,United States,SILVER BEACH,Ocean,NJ,Atlantic Ocean,2ND STREET NEAR LIFEGUARD STAND,3959.55,39.9925,decimal degrees,,7403.9,-74.065,decimal degrees,,,2002-MAR-05,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1033215,groenlandica,NE,United States,BRIGANTINE,Atlantic,NJ,Atlantic Ocean,NORTH END BEACH ON THE BAYSIDE OF THE POINT,3926.52,39.442,decimal degrees,,7420.15,-74.33583333,decimal degrees,,,2002-MAR-07,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2002-1033221,phocoena,NE,United States,SEASIDE PARK,Ocean,NJ,Atlantic Ocean,30 YARDS SOUTH OF SEASIDE BOARDWALK,3955.27,39.92116667,decimal degrees,,7405.02,-74.08366667,decimal degrees,,,2002-MAR-23,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2002-1033222,phocoena,NE,United States,THE VILLAS,Cape May,NJ,Atlantic Ocean,OHIO AVE. AND THE BAY,39.02683,39.02683,decimal degrees,estimate,-74.9435,-74.9435,decimal degrees,estimate,,2002-MAR-27,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1033224,vitulina,NE,United States,BELMAR,Monmouth,NJ,Atlantic Ocean,12TH STREET AND THE BEACH,4010.38,40.173,decimal degrees,,7400.82,-74.01366667,decimal degrees,,,2002-FEB-24,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1033232,groenlandica,NE,United States,MIDDLETOWN,Monmouth,NJ,Atlantic Ocean,"IDEAL BEACH, JOHNSON PL. AND THE BAY",4026.57,40.44283333,decimal degrees,,7406.4,-74.10666667,decimal degrees,,,2002-FEB-21,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2002-1033233,groenlandica,NE,United States,SANDY HOOK,Monmouth,NJ,Atlantic Ocean,"WINDSURFERS"" BEACH AND THE BAY",4026.43,40.4405,decimal degrees,,7359.5,-73.99166667,decimal degrees,,,2002-FEB-25,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2002-1033237,groenlandica,NE,United States,CAPEMAY CRTHSE.,Cape May,NJ,Atlantic Ocean,CAPE MAY COURTHOUSE- PACIFIC AVE./ BENNIES LANDING RD,3904.07,39.06783333,decimal degrees,,7448.75,-74.8125,decimal degrees,,,2002-MAR-05,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1033238,groenlandica,NE,United States,STRATHMERE,Cape May,NJ,Atlantic Ocean,300 YARDS NORTH OF #9 N. BAYVIEW DRIVE,3911.73,39.1955,decimal degrees,,7439.65,-74.66083333,decimal degrees,,,2002-MAR-09,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2002-1033239,vitulina,NE,United States,NEPTUNE,Monmouth,NJ,Atlantic Ocean,FLOATING DOCK OFF OF BOSTON AVE.,4011.42,40.19033333,decimal degrees,,7401.82,-74.03033333,decimal degrees,,,2002-FEB-16,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
